medicine_name,manufacturer,composition,packaging,price,cleaned_composition,manufacturer_enc
Cettab 40,Abbott India,azithromycin 250mg,15 tablets,446.48,azithromycin 250mg,0
Azeeod 250,Alkem Labs,Amoxicillin (250mg),15 tablets,340.26,amoxicillin 250mg,1
Pancap 40,Himalaya,Levocetirizine 400 mg,30 tablets,258.19,levocetirizine 400mg,9
Azeeplus 40,Aurobindo Pharma,Tramadol (400 mg),10 tablets,374.16,tramadol 400mg,2
Mettab 10,Intas Pharma,ATORVASTATIN-500mg,10 tablets,172.56,atorvastatin 500mg,10
Omeod 40,Torrent Pharma,ESOMEPRAZOLE-500mg,6 tablets,109.31,esomeprazole 500mg,17
Dolocin 500,Abbott India,rabeprazole(200mg),6 tablets,494.51,rabeprazole 200mg,0
Augxr 40,Glenmark,atorvastatin(5mg),15 tablets,279.64,atorvastatin 5mg,7
Clavxr 1000,Himalaya,pregabalin 400 mg,1 bottle,137.84,pregabalin 400mg,9
Cetxr 20,Zydus Cadila,Omeprazole (500mg),6 tablets,45.61,omeprazole 500mg,19
Omeds 1000,Sun Pharma,clonazepam(200mg),6 tablets,463.01,clonazepam 200mg,16
Cetds 250,Torrent Pharma,Pantoprazole (20 mg),10 capsules,523.35,pantoprazole 20mg,17
Cetds 20,Hetero Drugs,CALCIUM CARBONATE-5mg,5 ml,551.75,calcium carbonate 5mg,8
Metod 250,Abbott India,azithromycin 500 mg,10 tablets,58.71,azithromycin 500mg,0
Cetplus 20,GSK India,GABAPENTIN-20mg,10 capsules,524.48,gabapentin 20mg,6
Dolosr 20,Aurobindo Pharma,gabapentin 5mg,6 tablets,275.28,gabapentin 5mg,2
Metplus 40,Dr Reddy,atorvastatin 500mg,10 capsules,295.37,atorvastatin 500mg,5
Augxr 500,Abbott India,Methylcobalamin 200  mg,5 ml,63.84,methylcobalamin 200mg,0
Bruforte 250,Lupin,Levocetirizine (20 mg),10 tablets,155.2,levocetirizine 20mg,11
Omesr 20,Pfizer India,fexofenadine 40mg,15 tablets,65.96,fexofenadine 40mg,14
Augsr 500,Mankind Pharma,PARACETAMOL-1000mg,1 bottle,519.87,paracetamol 1000mg,12
Bruds 40,Pfizer India,paracetamol 1000 mg,30 tablets,433.3,paracetamol 1000mg,14
Dolocin 250,Cipla,metformin(200 mg),6 tablets,353.83,metformin 200mg,3
Cettab 20,Dr Reddy,pantoprazole(500mg),5 ml,48.23,pantoprazole 500mg,5
Clavtab 10,Dabur Pharma,methylcobalamin(400mg),10 tablets,397.16,methylcobalamin 400mg,4
Brucap 40,Abbott India,losartan 5mg,30 tablets,390.14,losartan 5mg,0
Ometab 20,Dabur Pharma,Atorvastatin 250 mg,10 capsules,134.19,atorvastatin 250mg,4
Augds 40,Intas Pharma,atorvastatin 400mg,15 tablets,187.09,atorvastatin 400mg,10
Omecap 1000,Intas Pharma,clonazepam(250mg),6 tablets,76.33,clonazepam 250mg,10
Dolosol 40,Alkem Labs,telmisartan(100mg),6 tablets,383.47,telmisartan 100mg,1
Panforte 500,Torrent Pharma,Metformin 1000 mg,10 tablets,385.17,metformin 1000mg,17
Omecap 20,Sun Pharma,pregabalin(10 mg),10 tablets,29.33,pregabalin 10mg,16
Panforte 500,Intas Pharma,Fexofenadine (20mg),30 tablets,411.78,fexofenadine 20mg,10
Cetcap 10,Zydus Cadila,pregabalin(10 mg),15 tablets,22.67,pregabalin 10mg,19
Omexr 250,Mankind Pharma,levocetirizine 400mg,5 ml,516.29,levocetirizine 400mg,12
Pansol 10,Abbott India,tramadol 500 mg,15 tablets,202.33,tramadol 500mg,0
Azeeforte 250,Aurobindo Pharma,telmisartan(500 mg),6 tablets,76.28,telmisartan 500mg,2
Doloforte 10,Dabur Pharma,Losartan (500mg),1 bottle,366.88,losartan 500mg,4
Brucin 20,Cipla,methylcobalamin 5mg,6 tablets,555.94,methylcobalamin 5mg,3
Dolood 1000,Dr Reddy,Domperidone 500  mg,6 tablets,400.73,domperidone 500mg,5
Amoxds 500,Glenmark,Alprazolam 100 mg,1 bottle,121.57,alprazolam 100mg,7
Panplus 1000,Aurobindo Pharma,ranitidine 200 mg,10 capsules,132.43,ranitidine 200mg,2
Metds 10,Pfizer India,Levothyroxine 20  mg,6 tablets,477.89,levothyroxine 20mg,14
Omesol 40,Dabur Pharma,omeprazole(100mg),30 tablets,191.77,omeprazole 100mg,4
Omesr 10,Dabur Pharma,Amoxicillin 400 mg,5 ml,532.59,amoxicillin 400mg,4
Pantab 10,Abbott India,Rabeprazole 40  mg,15 tablets,137.55,rabeprazole 40mg,0
Omesr 500,Abbott India,tramadol(500mg),5 ml,482.44,tramadol 500mg,0
Azeexr 20,Dabur Pharma,Calcium carbonate 250  mg,5 ml,271.98,calcium carbonate 250mg,4
Azeesr 40,Torrent Pharma,DICLOFENAC-200mg,5 ml,149.63,diclofenac 200mg,17
Omecap 500,Glenmark,aspirin 200mg,10 capsules,144.91,aspirin 200mg,7
Augxr 250,Glenmark,Atorvastatin 10  mg,10 capsules,130.45,atorvastatin 10mg,7
Panforte 1000,Aurobindo Pharma,vitamin d3(250mg),1 bottle,454.06,vitamin d3 250mg,2
Clavds 250,Pfizer India,CLOPIDOGREL-1000mg,15 tablets,544.9,clopidogrel 1000mg,14
Panplus 10,Pfizer India,OMEPRAZOLE-10mg,15 tablets,201.79,omeprazole 10mg,14
Pansol 500,Cipla,Rosuvastatin (400mg),5 ml,504.82,rosuvastatin 400mg,3
Amoxforte 500,Alkem Labs,sertraline(10mg),1 bottle,366.69,sertraline 10mg,1
Amoxod 40,Himalaya,Pantoprazole (100mg),10 tablets,545.55,pantoprazole 100mg,9
Amoxod 250,Abbott India,domperidone(1000mg),10 tablets,479.37,domperidone 1000mg,0
Dolocin 10,Dr Reddy,gabapentin 10 mg,10 capsules,494.82,gabapentin 10mg,5
Azeeplus 20,Mankind Pharma,Tramadol 20 mg,6 tablets,486.45,tramadol 20mg,12
Mettab 1000,Glenmark,fexofenadine 200 mg,5 ml,529.93,fexofenadine 200mg,7
Dolocap 10,Sun Pharma,zinc sulphate 1000 mg,1 bottle,133.57,zinc sulphate 1000mg,16
Mettab 500,Sun Pharma,calcium carbonate(200mg),10 capsules,434.28,calcium carbonate 200mg,16
Amoxsol 10,Sun Pharma,Sertraline 40  mg,10 tablets,417.54,sertraline 40mg,16
Azeeforte 1000,Hetero Drugs,sertraline(400 mg),1 bottle,424.09,sertraline 400mg,8
Azeecap 500,Lupin,azithromycin 5mg,6 tablets,136.1,azithromycin 5mg,11
Metforte 500,Alkem Labs,Clonazepam (100mg),30 tablets,186.94,clonazepam 100mg,1
Cetsr 250,Intas Pharma,amoxicillin(500mg),6 tablets,524.65,amoxicillin 500mg,10
Augtab 250,Cipla,DICLOFENAC-250mg,30 tablets,245.22,diclofenac 250mg,3
Omesol 250,Himalaya,METFORMIN-20mg,30 tablets,338.38,metformin 20mg,9
Augplus 20,Aurobindo Pharma,zinc sulphate(400mg),1 bottle,594.1,zinc sulphate 400mg,2
Amoxplus 40,Cipla,diclofenac 40 mg,15 tablets,516.89,diclofenac 40mg,3
Azeesol 40,Wockhardt,LOSARTAN-200mg,10 tablets,96.2,losartan 200mg,18
Clavplus 10,Dabur Pharma,metformin 40mg,6 tablets,81.62,metformin 40mg,4
Omeod 250,GSK India,telmisartan(5 mg),1 bottle,534.54,telmisartan 5mg,6
Panplus 20,Himalaya,IBUPROFEN-1000mg,10 capsules,31.82,ibuprofen 1000mg,9
Augtab 10,Himalaya,DICLOFENAC-200mg,1 bottle,213.99,diclofenac 200mg,9
Bruds 250,GSK India,Pantoprazole 250  mg,30 tablets,277.26,pantoprazole 250mg,6
Brucin 500,Novartis India,Ondansetron (5 mg),1 bottle,314.92,ondansetron 5mg,13
Pands 10,Intas Pharma,CALCIUM CARBONATE-400mg,10 capsules,63.18,calcium carbonate 400mg,10
Amoxds 40,GSK India,TRAMADOL-10mg,6 tablets,169.87,tramadol 10mg,6
Metod 20,Zydus Cadila,aspirin(20 mg),1 bottle,449.81,aspirin 20mg,19
Panplus 40,Torrent Pharma,levocetirizine(250 mg),5 ml,184.75,levocetirizine 250mg,17
Doloforte 20,Novartis India,Fluoxetine 20 mg,1 bottle,459.62,fluoxetine 20mg,13
Brucin 1000,Aurobindo Pharma,domperidone(400mg),15 tablets,448.87,domperidone 400mg,2
Azeeod 1000,Cipla,Rabeprazole 20 mg,15 tablets,522.86,rabeprazole 20mg,3
Cettab 10,Zydus Cadila,Clonazepam (20 mg),1 bottle,470.66,clonazepam 20mg,19
Dolosr 20,Novartis India,ondansetron 1000mg,1 bottle,29.25,ondansetron 1000mg,13
Omesr 500,Wockhardt,Glimepiride (400mg),10 tablets,418.85,glimepiride 400mg,18
Cetsol 20,Hetero Drugs,metformin 100mg,1 bottle,251.93,metformin 100mg,8
Metsr 20,Aurobindo Pharma,ranitidine(1000mg),10 capsules,92.73,ranitidine 1000mg,2
