medicine_name,manufacturer,composition,packaging,price(Rs.)
Cettab 40,Abbott India,azithromycin 250mg,15 tablets,446.48
Azeeod 250,Alkem Labs,Amoxicillin (250mg),15 tablets,340.26
Pancap 40,Himalaya,Levocetirizine 400 mg,30 tablets,258.19
Doloforte 20,Aurobindo Pharma,Clopidogrel (10mg),10 tablets,0.0
Azeeplus 40,Aurobindo Pharma,Tramadol (400 mg),10 tablets,374.16
Mettab 10,Intas Pharma,ATORVASTATIN-500mg,10 tablets,172.56
Omeod 40,Torrent Pharma,ESOMEPRAZOLE-500mg,6 tablets,109.31
Dolocin 500,Abbott India,rabeprazole(200mg),6 tablets,494.51
Augxr 40,Glenmark,atorvastatin(5mg),15 tablets,279.64
Clavxr 1000,Himalaya,pregabalin 400 mg,1 bottle,137.84
Cetxr 20,Zydus Cadila,Omeprazole (500mg),6 tablets,45.61
Omeds 1000,Sun Pharma,clonazepam(200mg),6 tablets,463.01
Cetds 250,Torrent Pharma,Pantoprazole (20 mg),10 capsules,523.35
Cetds 20,Hetero Drugs,CALCIUM CARBONATE-5mg,5 ml,551.75
Metod 250,Abbott India,azithromycin 500 mg,10 tablets,58.71
Cetplus 20,GSK India,GABAPENTIN-20mg,10 capsules,524.48
Dolosr 20,Aurobindo Pharma,gabapentin 5mg,6 tablets,275.28
Metcin 250,Abbott India,ibuprofen(200 mg),10 capsules,0.0
Metplus 40,Dr Reddy,atorvastatin 500mg,10 capsules,295.37
Augxr 500,Abbott India,Methylcobalamin 200  mg,5 ml,63.84
Bruforte 250,Lupin,Levocetirizine (20 mg),10 tablets,155.2
Omesr 20,Pfizer India,fexofenadine 40mg,15 tablets,65.96
Augsr 500,Mankind Pharma,PARACETAMOL-1000mg,1 bottle,519.87
Bruds 40,Pfizer India,paracetamol 1000 mg,30 tablets,433.3
Dolocin 250,Cipla,metformin(200 mg),6 tablets,353.83
Cettab 20,Dr Reddy,pantoprazole(500mg),5 ml,48.23
Clavtab 10,Dabur Pharma,methylcobalamin(400mg),10 tablets,397.16
Brucap 40,Abbott India,losartan 5mg,30 tablets,390.14
Ometab 20,Dabur Pharma,Atorvastatin 250 mg,10 capsules,134.19
Augds 40,Intas Pharma,atorvastatin 400mg,15 tablets,187.09
Omecap 1000,Intas Pharma,clonazepam(250mg),6 tablets,76.33
Dolosol 40,Alkem Labs,telmisartan(100mg),6 tablets,383.47
Panforte 500,Torrent Pharma,Metformin 1000 mg,10 tablets,385.17
Omecap 20,Sun Pharma,pregabalin(10 mg),10 tablets,29.33
Panforte 500,Intas Pharma,Fexofenadine (20mg),30 tablets,411.78
Cetcap 10,Zydus Cadila,pregabalin(10 mg),15 tablets,22.67
Omexr 250,Mankind Pharma,levocetirizine 400mg,5 ml,516.29
Pansol 10,Abbott India,tramadol 500 mg,15 tablets,202.33
Azeeforte 250,Aurobindo Pharma,telmisartan(500 mg),6 tablets,76.28
Doloforte 10,Dabur Pharma,Losartan (500mg),1 bottle,366.88
Brucin 20,Cipla,methylcobalamin 5mg,6 tablets,555.94
Dolood 1000,Dr Reddy,Domperidone 500  mg,6 tablets,400.73
Amoxds 500,Glenmark,Alprazolam 100 mg,1 bottle,121.57
Panplus 1000,Aurobindo Pharma,ranitidine 200 mg,10 capsules,132.43
Metds 10,Pfizer India,Levothyroxine 20  mg,6 tablets,477.89
Omesol 40,Dabur Pharma,omeprazole(100mg),30 tablets,191.77
Omesr 10,Dabur Pharma,Amoxicillin 400 mg,5 ml,532.59
Pantab 10,Abbott India,Rabeprazole 40  mg,15 tablets,137.55
